post_time,count
0,3227
1,2409
2,1675
3,1140
4,553
5,318
6,570
7,1482
8,2636
9,4121
10,3772
11,3315
12,2993
13,2989
14,2661
15,2760
16,2620
17,2567
18,3257
19,3156
20,3199
21,2800
22,3180
23,3203
