post_time,median
2016-01-22,3.0
2016-01-23,2.0
2016-01-24,1.0
2016-01-25,2.0
2016-01-26,3.0
2016-01-27,2.5
2016-01-28,2.0
2016-01-29,2.0
2016-01-30,2.5
2016-01-31,2.0
2016-02-01,3.0
2016-02-02,2.0
2016-02-03,2.0
2016-02-04,2.0
2016-02-05,3.0
2016-02-06,3.0
2016-02-07,3.5
2016-02-08,2.0
2016-02-09,3.0
2016-02-10,2.0
2016-02-11,2.0
2016-02-12,3.0
2016-02-13,3.0
2016-02-14,4.0
2016-02-15,2.0
2016-02-16,2.0
2016-02-17,3.0
2016-02-18,2.5
2016-02-19,3.0
2016-02-20,3.0
2016-02-21,3.0
2016-02-22,1.0
2016-02-23,2.0
2016-02-24,3.0
2016-02-25,2.0
2016-02-26,3.0
2016-02-27,2.0
2016-02-28,5.0
2016-02-29,2.0
2016-03-01,1.5
2016-03-02,2.0
2016-03-03,2.0
2016-03-04,2.0
2016-03-05,2.0
2016-03-06,2.0
2016-03-07,2.0
2016-03-08,2.0
2016-03-09,2.0
2016-03-10,2.0
2016-03-11,2.0
2016-03-12,3.5
2016-03-13,2.0
2016-03-14,3.0
2016-03-15,3.0
2016-03-16,2.0
2016-03-17,3.0
2016-03-18,2.0
2016-03-19,2.0
2016-03-20,1.0
2016-03-21,2.0
2016-03-22,1.0
2016-03-23,1.5
2016-03-24,1.0
2016-03-25,2.0
2016-03-26,3.0
2016-03-27,2.0
2016-03-28,2.0
2016-03-29,1.0
2016-03-30,3.0
2016-03-31,4.0
2016-04-01,4.0
2016-04-02,4.0
2016-04-03,2.0
2016-04-04,1.5
2016-04-05,4.0
2016-04-06,3.0
2016-04-07,3.0
2016-04-08,2.0
2016-04-09,2.0
2016-04-10,4.0
2016-04-11,2.0
2016-04-12,2.0
2016-04-13,1.0
2016-04-14,3.0
2016-04-15,2.0
2016-04-16,2.0
2016-04-17,2.0
2016-04-18,3.0
2016-04-19,3.0
2016-04-20,4.0
2016-04-21,3.0
2016-04-22,3.5
2016-04-23,7.0
2016-04-24,2.5
2016-04-25,3.5
2016-04-26,4.0
2016-04-27,3.0
2016-04-28,3.0
2016-04-29,3.0
2016-04-30,3.0
2016-05-01,4.0
2016-05-02,3.0
2016-05-03,4.0
2016-05-04,3.0
2016-05-05,4.0
2016-05-06,4.0
2016-05-07,3.0
2016-05-08,4.0
2016-05-09,4.5
2016-05-10,3.0
2016-05-11,3.0
2016-05-12,4.0
2016-05-13,4.0
2016-05-14,4.5
2016-05-15,3.5
2016-05-16,3.0
2016-05-17,3.5
2016-05-18,4.0
2016-05-19,4.5
2016-05-20,4.0
2016-05-21,3.0
2016-05-22,3.0
2016-05-23,3.0
2016-05-24,2.0
2016-05-25,3.0
2016-05-26,4.0
2016-05-27,3.0
2016-05-28,2.0
2016-05-29,3.5
2016-05-30,3.0
2016-05-31,3.0
