post_time,count
0,3248
1,2409
2,1675
3,1140
4,553
5,319
6,599
7,1551
8,2658
9,4152
10,3835
11,3332
12,3045
13,3026
14,2679
15,2768
16,2639
17,2630
18,3276
19,3167
20,3234
21,2810
22,3205
23,3245
